Device ID,Device Name,Last Firmware Update,Operating Time (hrs),Connection Quality,Device Temperature (°C),Device Usage Frequency,Connectivity Type,Event Logs,Device Priority,Protocol,Label,Attack Type
ID4431,Smart Thermostat,2015-05-05,167,Poor,5.1,Occasionally,Bluetooth,81,High,HTTP,compromised,MITM
ID3745,Smart Light,2017-09-18,25,Excellent,24.7,Daily,WiFi,15,Low,HTTP,normal,
ID7828,Smart Thermostat,2019-07-27,58,Good,33.4,Occasionally,WiFi,39,High,HTTP,normal,
ID7073,Smart Lock,2011-01-18,67,Good,19.3,Weekly,Zigbee,22,Low,HTTP,normal,
ID9693,Smart Plug,2016-07-06,73,Poor,21.4,Weekly,WiFi,61,Low,MQTT,compromised,Jamming
ID7328,Smart Camera,2025-01-03,47,Excellent,19.2,Weekly,Zigbee,61,High,MQTT,normal,
ID9777,Smart Thermostat,2024-11-27,187,Good,25.0,Weekly,Zigbee,69,High,HTTP,normal,
ID2146,Smart Camera,2021-08-04,16,Poor,25.2,Daily,Zigbee,63,High,CoAP,compromised,DDoS
ID8536,Smart Camera,2014-06-19,17,Poor,18.1,Weekly,Bluetooth,28,High,CoAP,compromised,DDoS
ID7678,Smart Light,2011-04-12,56,Poor,11.3,Weekly,Bluetooth,90,Low,MQTT,compromised,Jamming
ID5132,Smart Camera,2015-04-29,99,Poor,26.0,Weekly,Zigbee,84,High,Zigbee,compromised,Jamming
ID6456,Smart Plug,2019-11-28,64,Good,17.9,Weekly,Zigbee,74,Low,MQTT,normal,
ID6080,Smart Lock,2024-04-30,36,Poor,19.5,Daily,Zigbee,47,Low,HTTP,compromised,DDoS
ID6105,Smart Light,2010-02-18,100,Excellent,20.3,Weekly,Bluetooth,32,Low,HTTP,normal,
ID8677,Smart Thermostat,2016-06-25,144,Poor,20.2,Weekly,Zigbee,5,High,MQTT,compromised,DDoS
ID6978,Smart Thermostat,2018-06-17,77,Excellent,23.3,Weekly,Bluetooth,75,High,Zigbee,normal,
ID9121,Smart Light,2022-04-06,41,Good,18.9,Weekly,Zigbee,99,Low,Zigbee,normal,
ID8374,Smart Lock,2018-05-04,80,Poor,28.3,Daily,Zigbee,18,Low,CoAP,compromised,MITM
ID3261,Smart Thermostat,2024-03-14,52,Excellent,20.1,Daily,Bluetooth,60,High,CoAP,normal,
ID8703,Smart Light,2012-05-03,69,Poor,22.5,Weekly,WiFi,98,Low,Zigbee,compromised,MITM
ID3211,Smart Plug,2011-08-25,49,Poor,29.5,Occasionally,Zigbee,90,Low,Zigbee,compromised,Jamming
ID4531,Smart Light,2020-12-20,66,Good,27.8,Occasionally,Zigbee,33,Low,Zigbee,normal,
ID8966,Smart Camera,2019-02-04,72,Good,30.9,Daily,WiFi,49,High,Zigbee,normal,
ID9701,Smart Light,2021-03-19,85,Good,14.0,Occasionally,WiFi,8,Low,HTTP,normal,
ID8792,Smart Camera,2020-09-04,69,Poor,24.5,Weekly,WiFi,31,High,HTTP,compromised,Replay
ID3589,Smart Camera,2014-05-10,70,Excellent,26.2,Occasionally,Zigbee,33,High,CoAP,normal,
ID3222,Smart Light,2019-10-14,36,Good,24.7,Daily,Bluetooth,35,Low,MQTT,normal,
ID3714,Smart Camera,2012-11-17,36,Excellent,10.6,Weekly,Bluetooth,75,High,CoAP,normal,
ID2562,Smart Camera,2024-11-16,21,Poor,10.5,Occasionally,Bluetooth,67,High,CoAP,compromised,MITM
ID8396,Smart Camera,2019-01-09,41,Excellent,24.8,Occasionally,Bluetooth,14,High,Zigbee,normal,
ID5649,Smart Thermostat,2016-04-06,88,Poor,23.9,Daily,WiFi,94,High,Zigbee,compromised,DDoS
ID4426,Smart Plug,2021-06-08,24,Poor,28.1,Occasionally,WiFi,85,Low,Zigbee,compromised,Replay
ID4955,Smart Thermostat,2020-06-19,71,Poor,30.2,Weekly,Bluetooth,30,High,HTTP,compromised,MITM
ID2310,Smart Thermostat,2023-06-14,78,Good,9.1,Daily,Zigbee,55,High,CoAP,normal,
ID3353,Smart Lock,2023-08-27,94,Good,30.0,Weekly,Zigbee,90,Low,HTTP,normal,
ID6078,Smart Thermostat,2015-07-15,106,Poor,24.6,Daily,WiFi,30,High,CoAP,compromised,Jamming
ID8355,Smart Light,2015-01-29,13,Poor,24.2,Occasionally,Zigbee,28,Low,Zigbee,normal,
ID6100,Smart Lock,2015-02-28,11,Excellent,24.9,Occasionally,Zigbee,44,Low,CoAP,normal,
ID1101,Smart Camera,2022-01-02,89,Poor,30.1,Weekly,Bluetooth,47,High,Zigbee,compromised,DDoS
ID8675,Smart Lock,2023-08-17,25,Poor,25.9,Daily,Zigbee,98,Low,MQTT,compromised,DDoS
ID6735,Smart Thermostat,2024-02-03,123,Poor,29.9,Occasionally,Bluetooth,63,High,CoAP,compromised,MITM
ID6467,Smart Lock,2015-02-25,64,Good,38.8,Weekly,Zigbee,70,Low,HTTP,normal,
ID4902,Smart Light,2011-12-27,80,Poor,22.4,Occasionally,Zigbee,84,Low,HTTP,compromised,DDoS
ID7369,Smart Thermostat,2023-02-17,157,Excellent,31.2,Occasionally,WiFi,25,High,Zigbee,normal,
ID3711,Smart Camera,2019-01-25,90,Poor,29.6,Daily,Zigbee,52,High,MQTT,compromised,Jamming
ID5824,Smart Camera,2012-08-01,36,Excellent,11.2,Daily,Bluetooth,12,High,CoAP,normal,
ID5640,Smart Lock,2015-12-11,75,Good,37.1,Occasionally,Zigbee,67,Low,MQTT,normal,
ID1123,Smart Lock,2014-08-04,81,Poor,21.3,Weekly,Zigbee,18,Low,Zigbee,compromised,Jamming
ID3128,Smart Plug,2020-07-13,25,Good,11.9,Occasionally,WiFi,2,Low,MQTT,normal,
ID5143,Smart Lock,2015-04-08,20,Poor,18.5,Weekly,Zigbee,18,Low,CoAP,compromised,Replay
ID4933,Smart Light,2013-09-28,91,Poor,19.0,Daily,Zigbee,64,Low,CoAP,compromised,Jamming
ID2720,Smart Lock,2013-07-06,52,Excellent,35.4,Weekly,Zigbee,93,Low,HTTP,normal,
ID7132,Smart Plug,2017-02-05,10,Good,20.2,Occasionally,Bluetooth,31,Low,HTTP,normal,
ID1933,Smart Thermostat,2017-01-07,144,Poor,13.3,Weekly,WiFi,4,High,HTTP,compromised,DDoS
ID5541,Smart Camera,2024-04-12,29,Poor,20.3,Weekly,WiFi,20,High,MQTT,compromised,Jamming
ID4691,Smart Camera,2014-11-04,66,Excellent,28.6,Occasionally,WiFi,99,High,CoAP,normal,
ID6998,Smart Thermostat,2012-04-12,104,Poor,6.6,Weekly,Zigbee,95,High,HTTP,compromised,Jamming
ID2977,Smart Thermostat,2014-12-15,68,Poor,36.0,Weekly,Bluetooth,58,High,HTTP,compromised,Replay
ID4956,Smart Camera,2013-12-12,46,Good,15.0,Daily,WiFi,77,High,Zigbee,normal,
ID5616,Smart Plug,2021-04-15,39,Excellent,23.0,Daily,WiFi,24,Low,HTTP,normal,
ID4807,Smart Light,2013-05-20,96,Good,8.0,Occasionally,Bluetooth,74,Low,MQTT,normal,
ID1138,Smart Lock,2013-02-12,71,Poor,31.1,Daily,Zigbee,88,Low,CoAP,compromised,MITM
ID9492,Smart Light,2020-01-15,75,Poor,18.4,Daily,WiFi,84,Low,Zigbee,compromised,Jamming
ID4250,Smart Thermostat,2019-01-15,97,Poor,21.9,Daily,Bluetooth,63,High,MQTT,compromised,Replay
ID8900,Smart Thermostat,2023-10-25,171,Poor,13.3,Weekly,Bluetooth,20,High,Zigbee,compromised,DDoS
ID4525,Smart Thermostat,2011-01-08,115,Excellent,33.5,Occasionally,WiFi,41,High,Zigbee,normal,
ID3876,Smart Thermostat,2022-03-31,95,Good,19.4,Occasionally,WiFi,89,High,CoAP,normal,
ID9437,Smart Camera,2017-07-17,12,Poor,16.2,Daily,Zigbee,83,High,Zigbee,compromised,MITM
ID2795,Smart Camera,2022-10-22,91,Poor,15.5,Weekly,Zigbee,65,High,HTTP,compromised,MITM
ID6543,Smart Plug,2020-05-14,45,Poor,16.2,Occasionally,Zigbee,57,Low,HTTP,compromised,Replay
ID2728,Smart Thermostat,2011-02-07,138,Poor,14.0,Occasionally,Zigbee,1,High,MQTT,compromised,MITM
ID2843,Smart Thermostat,2016-12-07,51,Poor,28.5,Weekly,Zigbee,72,High,MQTT,compromised,Jamming
ID3067,Smart Camera,2023-11-07,30,Poor,28.1,Occasionally,Bluetooth,66,High,MQTT,compromised,Replay
ID1564,Smart Thermostat,2013-05-03,120,Excellent,37.3,Daily,WiFi,97,High,Zigbee,normal,
ID9700,Smart Lock,2015-03-22,95,Good,11.9,Weekly,Zigbee,33,Low,Zigbee,normal,
ID8769,Smart Camera,2019-05-08,52,Poor,13.5,Weekly,WiFi,57,High,Zigbee,compromised,Replay
ID6550,Smart Thermostat,2010-06-08,158,Poor,6.7,Daily,WiFi,65,High,HTTP,compromised,DDoS
ID7048,Smart Light,2013-06-12,79,Poor,17.4,Occasionally,WiFi,64,Low,Zigbee,compromised,MITM
ID5292,Smart Lock,2021-12-14,39,Poor,39.8,Occasionally,Zigbee,33,Low,HTTP,compromised,Replay
ID5487,Smart Lock,2015-11-30,92,Excellent,16.6,Occasionally,Zigbee,71,Low,MQTT,normal,
ID8307,Smart Lock,2023-03-14,82,Excellent,32.6,Weekly,Zigbee,9,Low,MQTT,normal,
ID6515,Smart Camera,2020-11-01,84,Poor,27.1,Weekly,WiFi,100,High,Zigbee,compromised,DDoS
ID2548,Smart Camera,2011-08-24,99,Poor,26.7,Daily,Bluetooth,32,High,Zigbee,compromised,MITM
ID1209,Smart Light,2010-04-08,28,Good,23.9,Occasionally,Bluetooth,73,Low,Zigbee,normal,
ID8514,Smart Camera,2013-05-01,99,Poor,10.9,Daily,Zigbee,78,High,CoAP,compromised,Jamming
ID1160,Smart Thermostat,2012-09-10,82,Poor,10.9,Occasionally,Zigbee,56,High,Zigbee,compromised,MITM
ID2038,Smart Plug,2014-11-16,20,Poor,22.7,Weekly,Bluetooth,69,Low,HTTP,compromised,MITM
ID4835,Smart Light,2016-06-20,43,Excellent,19.1,Daily,WiFi,80,Low,HTTP,normal,
ID9586,Smart Light,2024-08-13,23,Excellent,17.7,Daily,WiFi,39,Low,Zigbee,normal,
ID2787,Smart Camera,2016-09-03,62,Poor,23.3,Daily,WiFi,48,High,MQTT,compromised,DDoS
ID1775,Smart Plug,2020-12-08,20,Poor,15.4,Weekly,Bluetooth,83,Low,CoAP,compromised,MITM
ID2551,Smart Camera,2010-06-01,45,Excellent,11.0,Occasionally,Bluetooth,57,High,CoAP,normal,
ID3901,Smart Plug,2014-02-05,41,Excellent,19.9,Occasionally,Bluetooth,71,Low,MQTT,normal,
ID3807,Smart Light,2018-01-06,33,Excellent,24.7,Daily,WiFi,83,Low,Zigbee,normal,
ID8032,Smart Camera,2010-04-25,78,Good,25.0,Weekly,Bluetooth,8,High,HTTP,normal,
ID8878,Smart Light,2023-04-19,44,Poor,9.6,Occasionally,Bluetooth,81,Low,MQTT,compromised,MITM
ID2711,Smart Camera,2024-07-19,58,Good,15.2,Occasionally,WiFi,16,High,Zigbee,normal,
ID6993,Smart Thermostat,2017-06-08,118,Poor,32.6,Occasionally,Zigbee,61,High,MQTT,compromised,Replay
ID3392,Smart Lock,2019-10-15,75,Poor,18.4,Occasionally,Zigbee,72,Low,Zigbee,compromised,MITM
ID3766,Smart Plug,2016-08-23,39,Poor,25.2,Occasionally,Bluetooth,23,Low,CoAP,compromised,Replay
ID4643,Smart Thermostat,2010-04-01,154,Excellent,37.4,Daily,WiFi,94,High,HTTP,normal,
ID1025,Smart Lock,2020-04-23,37,Poor,36.7,Weekly,Zigbee,82,Low,HTTP,compromised,DDoS
ID4366,Smart Lock,2015-03-12,22,Poor,33.5,Weekly,Zigbee,81,Low,CoAP,compromised,DDoS
ID2337,Smart Light,2012-07-08,16,Poor,13.7,Daily,WiFi,89,Low,MQTT,compromised,Replay
ID6782,Smart Light,2011-04-18,33,Poor,14.4,Daily,Bluetooth,27,Low,HTTP,normal,
ID5803,Smart Thermostat,2024-12-24,197,Poor,8.9,Daily,WiFi,52,High,CoAP,compromised,Replay
ID2196,Smart Plug,2014-09-14,80,Poor,29.3,Occasionally,Zigbee,48,Low,CoAP,compromised,DDoS
ID6126,Smart Lock,2022-02-27,46,Poor,37.8,Weekly,Zigbee,77,Low,MQTT,compromised,MITM
ID9438,Smart Camera,2019-09-19,84,Good,20.3,Weekly,WiFi,41,High,HTTP,normal,
ID7289,Smart Camera,2013-12-07,97,Poor,27.5,Occasionally,Bluetooth,93,High,MQTT,compromised,DDoS
ID6429,Smart Light,2014-10-12,43,Poor,10.3,Occasionally,Zigbee,69,Low,MQTT,compromised,Jamming
ID4569,Smart Lock,2013-10-19,47,Good,15.8,Weekly,Zigbee,68,Low,MQTT,normal,
ID1779,Smart Camera,2022-03-31,38,Poor,14.5,Occasionally,Zigbee,19,High,MQTT,compromised,DDoS
ID9401,Smart Camera,2013-10-07,62,Excellent,13.7,Occasionally,Bluetooth,79,High,MQTT,normal,
ID9415,Smart Light,2024-10-22,95,Poor,9.9,Daily,Bluetooth,76,Low,Zigbee,compromised,MITM
ID2455,Smart Camera,2012-06-11,90,Poor,11.0,Weekly,WiFi,21,High,HTTP,compromised,Replay
ID5926,Smart Plug,2016-04-21,32,Poor,16.3,Occasionally,Zigbee,32,Low,Zigbee,compromised,MITM
ID4843,Smart Thermostat,2015-04-16,112,Good,25.0,Occasionally,Bluetooth,63,High,CoAP,normal,
ID1191,Smart Camera,2014-04-24,24,Excellent,20.1,Daily,WiFi,47,High,CoAP,normal,
ID1937,Smart Thermostat,2017-02-23,156,Good,25.7,Occasionally,Bluetooth,99,High,CoAP,normal,
ID2409,Smart Plug,2015-10-18,45,Excellent,25.0,Occasionally,Zigbee,67,Low,CoAP,normal,
ID7976,Smart Light,2024-08-25,81,Poor,22.0,Weekly,Bluetooth,83,Low,CoAP,compromised,Replay
ID9715,Smart Plug,2019-09-28,65,Excellent,21.9,Daily,WiFi,24,Low,Zigbee,normal,
ID1664,Smart Plug,2018-01-09,13,Good,21.4,Daily,WiFi,95,Low,Zigbee,normal,
ID1836,Smart Plug,2013-08-18,35,Poor,12.6,Weekly,Zigbee,26,Low,CoAP,compromised,MITM
ID4325,Smart Lock,2022-02-05,64,Poor,24.1,Occasionally,Zigbee,26,Low,Zigbee,compromised,MITM
ID1658,Smart Thermostat,2018-08-10,175,Poor,21.7,Occasionally,WiFi,59,High,HTTP,compromised,MITM
ID2058,Smart Lock,2014-01-12,11,Poor,25.3,Weekly,Zigbee,82,Low,CoAP,compromised,Jamming
ID9958,Smart Camera,2018-01-19,42,Good,10.2,Occasionally,Bluetooth,59,High,MQTT,normal,
ID4016,Smart Camera,2024-12-03,57,Poor,27.7,Weekly,Bluetooth,24,High,MQTT,compromised,MITM
ID8498,Smart Camera,2018-04-11,27,Poor,30.6,Occasionally,Zigbee,43,High,CoAP,compromised,DDoS
ID3510,Smart Plug,2022-01-13,79,Good,22.0,Occasionally,Zigbee,31,Low,CoAP,normal,
ID2735,Smart Thermostat,2023-01-23,198,Poor,24.3,Daily,Bluetooth,81,High,HTTP,compromised,Jamming
ID8837,Smart Lock,2013-05-20,39,Excellent,25.3,Daily,Zigbee,60,Low,HTTP,normal,
ID5507,Smart Lock,2011-10-28,92,Excellent,24.0,Occasionally,Zigbee,40,Low,CoAP,normal,
ID8489,Smart Light,2019-07-24,98,Poor,9.2,Daily,WiFi,69,Low,CoAP,compromised,DDoS
ID9064,Smart Thermostat,2020-10-09,185,Poor,28.4,Daily,Zigbee,44,High,Zigbee,compromised,MITM
ID2284,Smart Light,2024-11-17,88,Poor,23.1,Daily,WiFi,52,Low,CoAP,compromised,MITM
ID7475,Smart Lock,2020-12-18,27,Poor,36.7,Daily,Zigbee,17,Low,CoAP,compromised,Jamming
ID7719,Smart Thermostat,2012-02-23,70,Poor,14.9,Occasionally,Zigbee,40,High,CoAP,compromised,Replay
ID1655,Smart Camera,2019-08-31,76,Poor,12.8,Weekly,Zigbee,3,High,MQTT,normal,
ID8363,Smart Camera,2011-10-16,69,Good,28.1,Occasionally,Zigbee,100,High,MQTT,normal,
ID6945,Smart Camera,2016-07-06,21,Good,19.8,Weekly,WiFi,76,High,Zigbee,normal,
ID2974,Smart Light,2022-09-26,28,Poor,10.8,Weekly,WiFi,86,Low,MQTT,compromised,MITM
ID8549,Smart Thermostat,2011-12-02,192,Poor,22.8,Occasionally,Zigbee,17,High,HTTP,compromised,DDoS
ID7880,Smart Camera,2011-05-18,79,Good,11.0,Weekly,Bluetooth,27,High,MQTT,normal,
ID7479,Smart Lock,2016-04-12,74,Poor,30.3,Daily,Zigbee,56,Low,MQTT,compromised,MITM
ID5413,Smart Plug,2020-11-10,93,Excellent,16.2,Occasionally,Bluetooth,50,Low,Zigbee,normal,
ID5915,Smart Thermostat,2024-03-01,110,Poor,7.6,Weekly,Bluetooth,3,High,CoAP,compromised,DDoS
ID5510,Smart Lock,2023-04-03,57,Good,15.0,Daily,Zigbee,70,Low,CoAP,normal,
ID7238,Smart Plug,2018-06-25,30,Poor,25.3,Daily,WiFi,70,Low,MQTT,compromised,DDoS
ID6865,Smart Lock,2013-06-20,88,Excellent,27.9,Occasionally,Zigbee,3,Low,Zigbee,normal,
ID9650,Smart Lock,2023-10-04,86,Poor,30.2,Weekly,Zigbee,31,Low,CoAP,compromised,DDoS
ID7776,Smart Plug,2012-06-18,40,Poor,15.6,Occasionally,Zigbee,69,Low,Zigbee,compromised,DDoS
ID3652,Smart Light,2024-07-03,68,Good,26.9,Occasionally,WiFi,87,Low,MQTT,normal,
ID8290,Smart Plug,2021-11-04,92,Poor,26.4,Occasionally,Zigbee,47,Low,HTTP,compromised,MITM
ID1326,Smart Plug,2016-04-21,97,Poor,15.4,Weekly,WiFi,84,Low,MQTT,compromised,Replay
ID9594,Smart Light,2011-08-15,89,Poor,11.1,Occasionally,Bluetooth,33,Low,CoAP,normal,
ID5061,Smart Light,2024-03-06,62,Poor,6.8,Weekly,Zigbee,27,Low,CoAP,normal,
ID3141,Smart Light,2012-10-17,43,Poor,28.5,Daily,Zigbee,4,Low,MQTT,normal,
ID8233,Smart Light,2022-04-23,61,Good,7.7,Weekly,Zigbee,97,Low,MQTT,normal,
ID9007,Smart Thermostat,2017-11-01,150,Poor,29.8,Occasionally,Zigbee,14,High,CoAP,compromised,DDoS
ID2442,Smart Plug,2012-12-26,45,Poor,25.4,Weekly,Bluetooth,26,Low,Zigbee,compromised,Jamming
ID7346,Smart Thermostat,2010-07-03,171,Poor,40.0,Daily,Bluetooth,56,High,MQTT,compromised,Replay
ID6714,Smart Plug,2013-09-17,16,Good,14.3,Daily,Zigbee,62,Low,MQTT,normal,
ID3353,Smart Lock,2021-12-19,95,Excellent,20.5,Weekly,Zigbee,1,Low,Zigbee,normal,
ID4979,Smart Camera,2016-06-26,46,Good,20.6,Occasionally,Bluetooth,41,High,HTTP,normal,
ID6924,Smart Plug,2022-04-26,43,Poor,25.1,Occasionally,WiFi,83,Low,Zigbee,compromised,MITM
ID5320,Smart Camera,2010-04-12,45,Poor,15.5,Daily,Zigbee,70,High,CoAP,compromised,Replay
ID2047,Smart Plug,2015-01-23,41,Excellent,17.8,Weekly,Zigbee,52,Low,HTTP,normal,
ID8994,Smart Plug,2012-01-25,37,Good,25.2,Weekly,Zigbee,22,Low,MQTT,normal,
ID3266,Smart Light,2023-08-20,34,Excellent,10.4,Weekly,WiFi,80,Low,Zigbee,normal,
ID7632,Smart Thermostat,2019-03-12,113,Good,32.5,Daily,Zigbee,0,High,MQTT,normal,
ID2680,Smart Light,2017-12-06,58,Excellent,24.8,Weekly,Zigbee,97,Low,Zigbee,normal,
ID6971,Smart Camera,2010-12-30,63,Poor,16.9,Occasionally,Zigbee,65,High,Zigbee,compromised,DDoS
ID2395,Smart Lock,2014-06-23,31,Excellent,31.9,Occasionally,Zigbee,73,Low,MQTT,normal,
ID3583,Smart Thermostat,2010-07-10,187,Excellent,6.0,Daily,Zigbee,25,High,MQTT,normal,
ID7480,Smart Thermostat,2015-03-07,97,Excellent,32.0,Weekly,Zigbee,12,High,Zigbee,normal,
ID6982,Smart Thermostat,2011-09-15,69,Poor,12.7,Daily,Bluetooth,44,High,MQTT,compromised,DDoS
ID4126,Smart Lock,2012-11-12,60,Poor,17.9,Occasionally,Zigbee,41,Low,Zigbee,compromised,Replay
ID3617,Smart Plug,2016-07-12,50,Poor,20.0,Weekly,Bluetooth,23,Low,Zigbee,compromised,Replay
ID3177,Smart Plug,2019-01-30,30,Poor,13.9,Daily,Bluetooth,57,Low,MQTT,compromised,DDoS
ID7520,Smart Plug,2024-01-22,92,Poor,27.4,Occasionally,WiFi,91,Low,Zigbee,compromised,Replay
ID4144,Smart Plug,2011-05-11,64,Excellent,24.9,Daily,Zigbee,60,Low,HTTP,normal,
ID7329,Smart Plug,2024-11-02,10,Poor,10.7,Occasionally,Bluetooth,69,Low,CoAP,compromised,Jamming
ID1065,Smart Lock,2022-07-17,76,Excellent,16.9,Daily,Zigbee,85,Low,MQTT,normal,
ID8952,Smart Thermostat,2022-07-13,152,Poor,38.8,Weekly,WiFi,30,High,Zigbee,compromised,Replay
ID7283,Smart Lock,2020-11-07,25,Good,38.3,Daily,Zigbee,71,Low,Zigbee,normal,
ID9381,Smart Plug,2017-10-31,32,Excellent,18.5,Occasionally,WiFi,18,Low,HTTP,normal,
ID3374,Smart Lock,2021-04-21,76,Poor,37.3,Occasionally,Zigbee,14,Low,Zigbee,compromised,Replay
ID3846,Smart Thermostat,2013-09-09,115,Poor,34.3,Weekly,Zigbee,20,High,MQTT,compromised,DDoS
ID5030,Smart Light,2017-07-04,63,Good,21.0,Daily,Zigbee,23,Low,MQTT,normal,
ID6834,Smart Thermostat,2011-02-19,94,Excellent,14.3,Daily,WiFi,11,High,Zigbee,normal,
ID6450,Smart Thermostat,2024-01-09,125,Poor,33.6,Occasionally,Zigbee,66,High,Zigbee,compromised,MITM
ID9290,Smart Thermostat,2022-11-30,134,Good,16.6,Weekly,WiFi,98,High,CoAP,normal,
ID3505,Smart Lock,2014-01-22,62,Good,12.5,Occasionally,Zigbee,100,Low,HTTP,normal,
ID4914,Smart Camera,2024-09-15,45,Poor,24.8,Daily,Bluetooth,93,High,Zigbee,compromised,Jamming
ID1159,Smart Thermostat,2013-02-22,147,Poor,33.4,Weekly,Zigbee,22,High,CoAP,compromised,Replay
ID2722,Smart Light,2012-09-15,17,Good,13.0,Occasionally,Zigbee,31,Low,MQTT,normal,
ID5229,Smart Light,2014-06-11,76,Good,19.0,Occasionally,WiFi,0,Low,HTTP,normal,
ID2930,Smart Thermostat,2014-04-28,140,Poor,33.2,Daily,Bluetooth,74,High,CoAP,compromised,Replay
ID8077,Smart Light,2014-08-19,70,Poor,28.8,Weekly,WiFi,94,Low,Zigbee,compromised,Jamming
ID9507,Smart Light,2016-04-15,49,Good,26.6,Occasionally,Zigbee,57,Low,HTTP,normal,
ID4389,Smart Plug,2015-06-26,82,Excellent,20.7,Weekly,Zigbee,0,Low,MQTT,normal,
ID5244,Smart Plug,2017-08-06,10,Poor,25.3,Occasionally,Zigbee,23,Low,MQTT,compromised,MITM
ID7169,Smart Camera,2023-05-31,32,Poor,24.9,Daily,WiFi,39,High,CoAP,compromised,Replay
ID8137,Smart Camera,2020-07-10,49,Poor,10.6,Occasionally,WiFi,87,High,HTTP,compromised,MITM
ID5358,Smart Camera,2012-12-03,36,Poor,33.6,Weekly,Bluetooth,88,High,HTTP,compromised,MITM
ID6190,Smart Plug,2012-01-27,12,Poor,21.1,Weekly,Zigbee,88,Low,Zigbee,compromised,Replay
ID1665,Smart Camera,2014-11-14,27,Poor,16.5,Daily,Bluetooth,75,High,MQTT,compromised,Replay
ID6847,Smart Plug,2011-01-10,68,Poor,11.8,Daily,WiFi,65,Low,CoAP,compromised,MITM
ID1838,Smart Lock,2016-07-26,35,Poor,33.2,Occasionally,Zigbee,96,Low,CoAP,compromised,Replay
ID4279,Smart Plug,2010-06-05,97,Excellent,24.8,Daily,Bluetooth,87,Low,MQTT,normal,
ID6368,Smart Light,2010-11-28,71,Poor,12.8,Occasionally,Bluetooth,11,Low,MQTT,normal,
ID3245,Smart Lock,2017-08-04,10,Good,14.3,Weekly,Zigbee,2,Low,CoAP,normal,
ID1610,Smart Camera,2024-04-09,58,Excellent,12.0,Weekly,Bluetooth,42,High,MQTT,normal,
ID1972,Smart Plug,2022-06-28,10,Excellent,11.3,Daily,WiFi,11,Low,Zigbee,normal,
ID3804,Smart Plug,2016-09-01,37,Poor,21.3,Weekly,Bluetooth,35,Low,CoAP,compromised,DDoS
ID5978,Smart Lock,2016-03-14,42,Poor,26.0,Weekly,Zigbee,12,Low,Zigbee,compromised,MITM
ID2989,Smart Lock,2021-07-25,14,Poor,12.3,Occasionally,Zigbee,95,Low,HTTP,compromised,Jamming
ID1438,Smart Thermostat,2010-08-26,191,Poor,23.1,Occasionally,WiFi,24,High,CoAP,compromised,MITM
ID3465,Smart Thermostat,2018-04-24,98,Poor,35.3,Weekly,Zigbee,73,High,CoAP,compromised,Jamming
ID3110,Smart Light,2021-09-16,46,Poor,12.1,Daily,WiFi,81,Low,CoAP,compromised,Replay
ID2474,Smart Thermostat,2018-09-26,194,Poor,27.9,Weekly,WiFi,91,High,Zigbee,compromised,Replay
ID2234,Smart Camera,2024-12-28,21,Poor,30.0,Occasionally,Zigbee,1,High,CoAP,normal,
ID5662,Smart Camera,2010-11-03,71,Poor,24.2,Occasionally,WiFi,94,High,Zigbee,compromised,Jamming
ID6026,Smart Plug,2017-10-03,30,Excellent,22.5,Occasionally,Zigbee,25,Low,HTTP,normal,
ID4443,Smart Camera,2010-05-26,30,Poor,21.1,Weekly,Zigbee,32,High,Zigbee,compromised,DDoS
ID9174,Smart Camera,2016-03-10,46,Poor,22.5,Occasionally,WiFi,32,High,CoAP,compromised,DDoS
ID3199,Smart Plug,2012-10-10,18,Good,13.7,Weekly,Bluetooth,57,Low,HTTP,normal,
ID8002,Smart Thermostat,2020-06-15,68,Poor,21.3,Daily,Bluetooth,88,High,HTTP,compromised,Jamming
ID6318,Smart Camera,2022-05-13,86,Poor,20.5,Daily,Zigbee,13,High,CoAP,compromised,MITM
ID9171,Smart Thermostat,2018-12-22,197,Poor,12.6,Weekly,WiFi,23,High,Zigbee,compromised,Replay
ID5276,Smart Light,2016-08-31,20,Poor,22.0,Daily,WiFi,97,Low,CoAP,compromised,Jamming
ID7860,Smart Plug,2013-05-12,36,Poor,12.9,Daily,Zigbee,96,Low,Zigbee,compromised,DDoS
ID7704,Smart Lock,2018-03-13,36,Excellent,37.6,Daily,Zigbee,82,Low,MQTT,normal,
ID7579,Smart Light,2018-05-22,70,Poor,27.6,Occasionally,Zigbee,63,Low,Zigbee,compromised,Replay
ID5889,Smart Plug,2017-10-01,71,Good,28.2,Weekly,WiFi,81,Low,Zigbee,normal,
ID9160,Smart Lock,2016-08-31,25,Excellent,37.0,Occasionally,Zigbee,64,Low,HTTP,normal,
ID8239,Smart Thermostat,2023-05-25,175,Excellent,13.7,Daily,Zigbee,46,High,MQTT,normal,
ID1386,Smart Thermostat,2017-12-29,57,Excellent,12.1,Occasionally,Bluetooth,64,High,MQTT,normal,
ID8469,Smart Plug,2011-11-30,15,Excellent,21.2,Occasionally,WiFi,19,Low,CoAP,normal,
ID4704,Smart Plug,2016-05-19,30,Good,26.6,Occasionally,WiFi,64,Low,CoAP,normal,
ID5935,Smart Light,2024-12-31,46,Poor,29.5,Occasionally,Zigbee,53,Low,Zigbee,compromised,DDoS
ID3720,Smart Plug,2017-07-27,90,Poor,28.7,Daily,WiFi,84,Low,HTTP,compromised,Replay
